Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,FUET-4020,1,FUET-4020,C391027
"C1, C4",0402,2,10pF,C1545
"C10, C11, C13, C20, C21, C22, C24, C29, C3, C30, C32, C33, C34, C35, C5, C8, C9",0402,17,100nF,C1525
C12,0402,1,1uF,C14445
"C14, C15, C16, C27",0402,4,4.7uF,C307423
"C17, C18, C19, C2, C28",0402,5,10uF,C307415
C23,0402,1,100pF,C152819
C25,0402,1,2.2nF,C84703
C26,0402,1,10nF,C15195
C31,0402,1,220nF,C16651
"C6, C7",0402,2,2.2uF,C170151
"D1, D5, D6",D_SOD-323,3,B5819W,C22624
D2,0402,1,Red,C130719
D3,0402,1,Yellow,C130721
D4,0402,1,Green,C130722
"J1, J10, J11, J12, J3",JST_GH_SM06B-GHS-TB_06x1.25mm_Angled,5,GH 1.25mm 6P,C133065
"J13, J14, J15, J16",JST_GH_SM04B-GHS-TB_04x1.25mm_Angled,4,GH 1.25mm 4P,C189895
J2,USB_C_Receptacle_GCT_USB4110,1,USB_C_USB2.0_14P,C709031
J4,TF06A,1,TF-06A,C693844
J5,JST_ZH_S2B-ZR-SM4A-TF_1x02-1MP_P1.50mm_Horizontal,1,JST ZH 1.5mm 2P,C265329
J6,PWM_Conn_3x14,1,PWM_Conn_3x14,C3327492
J7,JST_ZH_S4B-ZR-SM4A-TF_1x04-1MP_P1.50mm_Horizontal,1,ZH 1.5mm 4P,C485354
J8,JST_ZH_S3B-ZR-SM4A-TF_1x03-1MP_P1.50mm_Horizontal,1,ZH 1.5mm 3P,C72591
J9,JST_GH_SM10B-GHS-TB_10x1.25mm_Angled,1,GH 1.25mm 10P,C2683602 
"L1, L2, L3",VLS201610ET-2R2M,3,2.2u,C114768
"Q1, Q2",Nexperia_SOT1118,2,PMDPB30XN,C478009
Q3,Nexperia_SOT1118,1,PMDPB55XP,C552752
"R1, R11, R12, R2, R23, R24, R25, R26, R27, R28, R31, R32, R34, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R5",0402,26,10k,C25531
"R10, R3, R33, R4, R48, R49, R6, R7, R8, R9",0402,10,120, C25079
"R13, R14",0402,2,5k1,C25905
"R15, R16, R17, R18, R30, R35",0402,6,1k,C106235
R19,0402,1,1k5,C25867
"R20, R21, R22",0402,3,267k,C2998050
R29,0402,1,15k,C25539
U1,LQFP-100_14x14mm_P0.5mm,1,STM32F407VETx,C28730
U10,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22HH,C2827824
U11,TMUX1104,1,TMUX1104,C2865387
"U12, U13",VDFN8_3X3_MCH-L,2,ATA6561-GBQW,C617297
U2,SOT-23-6,1,USBLC6-2SC6,C7519
"U3, U4, U5",Texas_DSBGA-6_0.855x1.255mm_Layout2x3_P0.4mm_LevelC,3,TPS62840,C2071139
U6,USON_LUXIG TR_WIN-L,1,W25X40CLUXIG,C401661
U7,BMI323_L,1,BMI323,C5368700
U8,IIM42352_L,1,ICM-42688-P,C1850418
U9,LIS2MDLTR,1,LIS2MDLTR,C919695
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,16MHz,C1985423
