Designator,Mid X,Mid Y,Layer,Rotation
BZ1,136.62,-79.5,top,180
C1,139.4,-103.62,top,90
C10,139.5,-100,bottom,0
C11,145,-96.5,bottom,90
C12,131.75,-100,bottom,180
C13,131.75,-100.98,bottom,180
C14,128.25,-105,bottom,270
C15,138.75,-105,bottom,270
C16,133.5,-105,bottom,270
C17,129.75,-106.5,bottom,0
C18,140.25,-106.5,bottom,0
C19,135,-106.5,bottom,0
C2,126.5,-96,bottom,270
C20,147.3,-86.2,top,180
C21,150,-91.7,top,90
C22,140,-100,top,0
C23,136.5,-91.25,top,180
C24,142,-100,top,0
C25,136.5,-90.25,top,180
C26,138.5,-91.25,top,0
C27,137,-99.2,top,0
C28,140.8,-92.4,top,0
C29,140.8,-91.4,top,0
C3,139.5,-101,bottom,0
C30,140.8,-90.4,top,0
C31,139.3,-93.9,top,90
C32,148.75,-79.75,top,90
C33,143.75,-79.75,top,90
C34,148.75,-81.75,top,270
C35,143.75,-81.75,top,270
C4,134.2,-103.6,top,90
C5,132.2,-96.5,top,270
C6,127.02,-81.25,bottom,180
C7,140.5,-81,bottom,90
C8,137.25,-100,bottom,180
C9,137.25,-101,bottom,180
D1,136.5,-79.5,bottom,0
D2,146.25,-96.25,top,180
D3,146.25,-97.75,top,180
D4,146.25,-99.25,top,180
D5,130.25,-90,top,180
D6,126.5,-76.75,bottom,180
J1,122.6,-86,bottom,270
J10,122.6,-98.5,top,90
J11,151.7,-72.6,bottom,0
J12,139.45,-72.6,bottom,0
J13,122.6,-100,bottom,270
J14,143,-72.6,top,0
J15,153,-72.6,top,0
J16,155.4,-98.6,bottom,90
J2,123.205,-85.75,top,270
J3,126.95,-72.6,bottom,0
J4,150,-87,bottom,90
J5,153.75,-101,top,90
J6,139,-111.5,bottom,0
J7,153.75,-92.75,top,90
J8,153.75,-83.75,top,90
J9,129.5,-72.6,top,0
L1,131.75,-105.5,bottom,270
L2,142.25,-105.5,bottom,270
L3,137,-105.5,bottom,270
Q1,132.75,-79.5,top,180
Q2,143.75,-102.75,top,90
Q3,143.75,-105.25,top,90
R1,128.8,-91.5,top,180
R10,142,-102.75,top,270
R11,146.5,-102.75,top,90
R12,141,-102.75,top,90
R13,128.5,-82.95,top,90
R14,129.75,-88.5,top,0
R15,146,-105.75,top,180
R16,141.5,-104.75,top,0
R17,141.5,-105.75,top,180
R18,146,-104.75,top,0
R19,132,-88.5,top,180
R2,148.25,-94.5,bottom,180
R20,130.25,-102.75,bottom,0
R21,140.75,-102.75,bottom,0
R22,135.5,-102.75,bottom,0
R23,148.7,-91.7,top,90
R24,147.4,-91.7,top,90
R25,146.4,-91.7,top,90
R26,149.9,-89.2,top,90
R27,147.3,-85.2,top,0
R28,135,-96.25,top,270
R29,150,-102.75,top,90
R3,133,-103.6,top,90
R30,150,-100.75,top,90
R31,132.75,-93.25,top,0
R32,132.75,-94.25,top,0
R33,132.75,-82.3,top,0
R34,132.74,-81.25,top,180
R35,130.9,-79.5,top,90
R36,150,-84.75,top,90
R37,131.25,-92.25,top,0
R38,127.6,-77,top,90
R39,129,-77,top,90
R4,134.25,-79.5,bottom,90
R40,126.8,-100.3,top,180
R41,131,-76.8,top,0
R42,126.8,-99.15,top,180
R43,126.8,-97.9,top,180
R44,151.9,-78.9,bottom,180
R45,138.4,-76.4,bottom,0
R46,126.8,-98.95,bottom,0
R47,126.8,-100.2,bottom,0
R48,141.5,-78.25,top,0
R49,146.5,-78.25,top,0
R5,133,-77.75,top,0
R6,148.25,-96.25,top,0
R7,148.25,-97.75,top,0
R8,148.25,-99.25,top,0
R9,145.5,-102.75,top,270
U1,135.75,-90.75,bottom,0
U10,137,-97.4,top,180
U11,130.25,-93.75,top,270
U12,141.5,-80.75,top,90
U13,146.5,-80.75,top,90
U2,130.8,-86.275,top,180
U3,129.75,-104.5,bottom,180
U4,140.25,-104.5,bottom,180
U5,135,-104.5,bottom,180
U6,147.5,-88.5,top,270
U7,141,-98,top,0
U8,137,-94,top,90
U9,141,-94,top,90
Y1,136.8,-103.6,top,180
